date,stock_ticker,company_name,exchange,country,currency,region,sector,beta,market_cap_bn,quarterly_return_pct,world_gdp_growth,us_fed_rate,us_cpi,vix,usd_index,oil_price_usd,gold_price_usd,geopolitical_risk,global_trade_vol,em_currency_idx
2020-10-01,EXXO_NYS,ExxonMobil,NYSE,USA,USD,Americas,Healthcare,0.86,479.0,-4.527,-1.8,0.25,1.4,22,90,42,1870,115,4.2,93
2021-01-01,EXXO_NYS,ExxonMobil,NYSE,USA,USD,Americas,Healthcare,0.86,479.0,10.591,5.5,0.25,1.7,21,89,52,1820,112,7.5,95
2021-04-01,EXXO_NYS,ExxonMobil,NYSE,USA,USD,Americas,Healthcare,0.86,479.0,5.079,5.0,0.25,5.0,17,91,62,1780,110,8.0,97
2021-07-01,EXXO_NYS,ExxonMobil,NYSE,USA,USD,Americas,Healthcare,0.86,479.0,-2.309,4.5,0.25,6.2,18,93,74,1760,108,6.5,96
2021-10-01,EXXO_NYS,ExxonMobil,NYSE,USA,USD,Americas,Healthcare,0.86,479.0,1.987,4.2,0.25,7.0,17,96,80,1820,112,5.8,94
2022-01-01,EXXO_NYS,ExxonMobil,NYSE,USA,USD,Americas,Healthcare,0.86,479.0,-2.808,3.8,0.25,7.9,24,98,95,1900,165,3.5,92
2022-04-01,EXXO_NYS,ExxonMobil,NYSE,USA,USD,Americas,Healthcare,0.86,479.0,-3.133,3.5,0.5,8.5,26,103,105,1870,200,2.5,88
2022-07-01,EXXO_NYS,ExxonMobil,NYSE,USA,USD,Americas,Healthcare,0.86,479.0,-4.547,3.0,1.5,8.3,30,108,95,1720,195,1.8,85
2022-10-01,EXXO_NYS,ExxonMobil,NYSE,USA,USD,Americas,Healthcare,0.86,479.0,-1.7,2.8,3.0,7.1,22,104,82,1800,180,2.0,88
2023-01-01,EXXO_NYS,ExxonMobil,NYSE,USA,USD,Americas,Healthcare,0.86,479.0,3.407,2.5,4.25,6.4,21,102,78,1850,175,2.2,87
2023-04-01,EXXO_NYS,ExxonMobil,NYSE,USA,USD,Americas,Healthcare,0.86,479.0,1.67,2.3,4.75,5.0,19,101,73,1960,170,2.5,89
2023-07-01,EXXO_NYS,ExxonMobil,NYSE,USA,USD,Americas,Healthcare,0.86,479.0,0.662,2.1,5.0,4.0,17,100,70,1920,165,2.8,91
2023-10-01,EXXO_NYS,ExxonMobil,NYSE,USA,USD,Americas,Healthcare,0.86,479.0,2.891,1.9,5.25,3.2,14,103,75,2000,160,3.0,90
2019-01-01,JOHN_NYS,JohnsonJohnson,NYSE,USA,USD,Americas,Finance,0.8,196.3,-3.34,3.1,2.25,1.6,16,96,55,1290,110,2.2,100
2019-04-01,JOHN_NYS,JohnsonJohnson,NYSE,USA,USD,Americas,Finance,0.8,196.3,6.118,3.0,2.5,1.9,13,97,62,1310,112,2.5,98
2019-07-01,JOHN_NYS,JohnsonJohnson,NYSE,USA,USD,Americas,Finance,0.8,196.3,5.74,2.9,2.25,1.8,15,98,60,1490,115,1.5,95
2019-10-01,JOHN_NYS,JohnsonJohnson,NYSE,USA,USD,Americas,Finance,0.8,196.3,6.848,2.8,1.75,2.1,17,97,56,1480,118,0.8,97
2020-01-01,JOHN_NYS,JohnsonJohnson,NYSE,USA,USD,Americas,Finance,0.8,196.3,-1.442,1.5,1.5,2.3,28,99,45,1580,130,-0.5,96
2020-04-01,JOHN_NYS,JohnsonJohnson,NYSE,USA,USD,Americas,Finance,0.8,196.3,-12.011,-6.5,0.25,0.1,55,100,20,1710,125,-15.0,88
2020-07-01,JOHN_NYS,JohnsonJohnson,NYSE,USA,USD,Americas,Finance,0.8,196.3,-2.249,-4.0,0.25,1.2,26,93,38,1900,120,3.0,90
2020-10-01,JOHN_NYS,JohnsonJohnson,NYSE,USA,USD,Americas,Finance,0.8,196.3,-0.908,-1.8,0.25,1.4,22,90,42,1870,115,4.2,93
2021-01-01,JOHN_NYS,JohnsonJohnson,NYSE,USA,USD,Americas,Finance,0.8,196.3,3.145,5.5,0.25,1.7,21,89,52,1820,112,7.5,95
2021-04-01,JOHN_NYS,JohnsonJohnson,NYSE,USA,USD,Americas,Finance,0.8,196.3,1.727,5.0,0.25,5.0,17,91,62,1780,110,8.0,97
2021-07-01,JOHN_NYS,JohnsonJohnson,NYSE,USA,USD,Americas,Finance,0.8,196.3,4.69,4.5,0.25,6.2,18,93,74,1760,108,6.5,96
2021-10-01,JOHN_NYS,JohnsonJohnson,NYSE,USA,USD,Americas,Finance,0.8,196.3,8.604,4.2,0.25,7.0,17,96,80,1820,112,5.8,94
2022-01-01,JOHN_NYS,JohnsonJohnson,NYSE,USA,USD,Americas,Finance,0.8,196.3,1.676,3.8,0.25,7.9,24,98,95,1900,165,3.5,92
2022-04-01,JOHN_NYS,JohnsonJohnson,NYSE,USA,USD,Americas,Finance,0.8,196.3,11.092,3.5,0.5,8.5,26,103,105,1870,200,2.5,88
2022-07-01,JOHN_NYS,JohnsonJohnson,NYSE,USA,USD,Americas,Finance,0.8,196.3,-0.271,3.0,1.5,8.3,30,108,95,1720,195,1.8,85
2022-10-01,JOHN_NYS,JohnsonJohnson,NYSE,USA,USD,Americas,Finance,0.8,196.3,-1.557,2.8,3.0,7.1,22,104,82,1800,180,2.0,88
2023-01-01,JOHN_NYS,JohnsonJohnson,NYSE,USA,USD,Americas,Finance,0.8,196.3,-2.579,2.5,4.25,6.4,21,102,78,1850,175,2.2,87
2023-04-01,JOHN_NYS,JohnsonJohnson,NYSE,USA,USD,Americas,Finance,0.8,196.3,6.824,2.3,4.75,5.0,19,101,73,1960,170,2.5,89
2023-07-01,JOHN_NYS,JohnsonJohnson,NYSE,USA,USD,Americas,Finance,0.8,196.3,7.911,2.1,5.0,4.0,17,100,70,1920,165,2.8,91
2023-10-01,JOHN_NYS,JohnsonJohnson,NYSE,USA,USD,Americas,Finance,0.8,196.3,3.753,1.9,5.25,3.2,14,103,75,2000,160,3.0,90
2019-01-01,WALM_NYS,Walmart,NYSE,USA,USD,Americas,Materials,1.55,141.2,8.567,3.1,2.25,1.6,16,96,55,1290,110,2.2,100
2019-04-01,WALM_NYS,Walmart,NYSE,USA,USD,Americas,Materials,1.55,141.2,15.466,3.0,2.5,1.9,13,97,62,1310,112,2.5,98
2019-07-01,WALM_NYS,Walmart,NYSE,USA,USD,Americas,Materials,1.55,141.2,8.44,2.9,2.25,1.8,15,98,60,1490,115,1.5,95
2019-10-01,WALM_NYS,Walmart,NYSE,USA,USD,Americas,Materials,1.55,141.2,3.313,2.8,1.75,2.1,17,97,56,1480,118,0.8,97
2020-01-01,WALM_NYS,Walmart,NYSE,USA,USD,Americas,Materials,1.55,141.2,0.428,1.5,1.5,2.3,28,99,45,1580,130,-0.5,96
2020-04-01,WALM_NYS,Walmart,NYSE,USA,USD,Americas,Materials,1.55,141.2,-14.756,-6.5,0.25,0.1,55,100,20,1710,125,-15.0,88
2020-07-01,WALM_NYS,Walmart,NYSE,USA,USD,Americas,Materials,1.55,141.2,-0.816,-4.0,0.25,1.2,26,93,38,1900,120,3.0,90
2020-10-01,WALM_NYS,Walmart,NYSE,USA,USD,Americas,Materials,1.55,141.2,-3.118,-1.8,0.25,1.4,22,90,42,1870,115,4.2,93
2021-01-01,WALM_NYS,Walmart,NYSE,USA,USD,Americas,Materials,1.55,141.2,10.259,5.5,0.25,1.7,21,89,52,1820,112,7.5,95
2021-04-01,WALM_NYS,Walmart,NYSE,USA,USD,Americas,Materials,1.55,141.2,12.182,5.0,0.25,5.0,17,91,62,1780,110,8.0,97
2021-07-01,WALM_NYS,Walmart,NYSE,USA,USD,Americas,Materials,1.55,141.2,5.026,4.5,0.25,6.2,18,93,74,1760,108,6.5,96
2021-10-01,WALM_NYS,Walmart,NYSE,USA,USD,Americas,Materials,1.55,141.2,6.126,4.2,0.25,7.0,17,96,80,1820,112,5.8,94
2022-01-01,WALM_NYS,Walmart,NYSE,USA,USD,Americas,Materials,1.55,141.2,-1.7,3.8,0.25,7.9,24,98,95,1900,165,3.5,92
2022-04-01,WALM_NYS,Walmart,NYSE,USA,USD,Americas,Materials,1.55,141.2,0.345,3.5,0.5,8.5,26,103,105,1870,200,2.5,88
2022-07-01,WALM_NYS,Walmart,NYSE,USA,USD,Americas,Materials,1.55,141.2,0.775,3.0,1.5,8.3,30,108,95,1720,195,1.8,85
2022-10-01,WALM_NYS,Walmart,NYSE,USA,USD,Americas,Materials,1.55,141.2,4.813,2.8,3.0,7.1,22,104,82,1800,180,2.0,88
2023-01-01,WALM_NYS,Walmart,NYSE,USA,USD,Americas,Materials,1.55,141.2,7.148,2.5,4.25,6.4,21,102,78,1850,175,2.2,87
2023-04-01,WALM_NYS,Walmart,NYSE,USA,USD,Americas,Materials,1.55,141.2,2.366,2.3,4.75,5.0,19,101,73,1960,170,2.5,89
2023-07-01,WALM_NYS,Walmart,NYSE,USA,USD,Americas,Materials,1.55,141.2,3.556,2.1,5.0,4.0,17,100,70,1920,165,2.8,91
2023-10-01,WALM_NYS,Walmart,NYSE,USA,USD,Americas,Materials,1.55,141.2,3.292,1.9,5.25,3.2,14,103,75,2000,160,3.0,90
2019-01-01,BERK_NYS,Berkshire,NYSE,USA,USD,Americas,Energy,0.64,398.1,2.144,3.1,2.25,1.6,16,96,55,1290,110,2.2,100
2019-04-01,BERK_NYS,Berkshire,NYSE,USA,USD,Americas,Energy,0.64,398.1,4.131,3.0,2.5,1.9,13,97,62,1310,112,2.5,98
2019-07-01,BERK_NYS,Berkshire,NYSE,USA,USD,Americas,Energy,0.64,398.1,-6.488,2.9,2.25,1.8,15,98,60,1490,115,1.5,95
2019-10-01,BERK_NYS,Berkshire,NYSE,USA,USD,Americas,Energy,0.64,398.1,12.228,2.8,1.75,2.1,17,97,56,1480,118,0.8,97
2020-01-01,BERK_NYS,Berkshire,NYSE,USA,USD,Americas,Energy,0.64,398.1,-9.16,1.5,1.5,2.3,28,99,45,1580,130,-0.5,96
2020-04-01,BERK_NYS,Berkshire,NYSE,USA,USD,Americas,Energy,0.64,398.1,-7.452,-6.5,0.25,0.1,55,100,20,1710,125,-15.0,88
2020-07-01,BERK_NYS,Berkshire,NYSE,USA,USD,Americas,Energy,0.64,398.1,-0.595,-4.0,0.25,1.2,26,93,38,1900,120,3.0,90
2020-10-01,BERK_NYS,Berkshire,NYSE,USA,USD,Americas,Energy,0.64,398.1,0.321,-1.8,0.25,1.4,22,90,42,1870,115,4.2,93
2021-01-01,BERK_NYS,Berkshire,NYSE,USA,USD,Americas,Energy,0.64,398.1,4.428,5.5,0.25,1.7,21,89,52,1820,112,7.5,95
2021-04-01,BERK_NYS,Berkshire,NYSE,USA,USD,Americas,Energy,0.64,398.1,-1.315,5.0,0.25,5.0,17,91,62,1780,110,8.0,97
2021-07-01,BERK_NYS,Berkshire,NYSE,USA,USD,Americas,Energy,0.64,398.1,0.758,4.5,0.25,6.2,18,93,74,1760,108,6.5,96
2021-10-01,BERK_NYS,Berkshire,NYSE,USA,USD,Americas,Energy,0.64,398.1,2.754,4.2,0.25,7.0,17,96,80,1820,112,5.8,94
2022-01-01,BERK_NYS,Berkshire,NYSE,USA,USD,Americas,Energy,0.64,398.1,0.976,3.8,0.25,7.9,24,98,95,1900,165,3.5,92
2022-04-01,BERK_NYS,Berkshire,NYSE,USA,USD,Americas,Energy,0.64,398.1,-0.016,3.5,0.5,8.5,26,103,105,1870,200,2.5,88
2022-07-01,BERK_NYS,Berkshire,NYSE,USA,USD,Americas,Energy,0.64,398.1,-3.718,3.0,1.5,8.3,30,108,95,1720,195,1.8,85
2022-10-01,BERK_NYS,Berkshire,NYSE,USA,USD,Americas,Energy,0.64,398.1,2.355,2.8,3.0,7.1,22,104,82,1800,180,2.0,88
2023-01-01,BERK_NYS,Berkshire,NYSE,USA,USD,Americas,Energy,0.64,398.1,7.928,2.5,4.25,6.4,21,102,78,1850,175,2.2,87
2023-04-01,BERK_NYS,Berkshire,NYSE,USA,USD,Americas,Energy,0.64,398.1,-1.991,2.3,4.75,5.0,19,101,73,1960,170,2.5,89
2023-07-01,BERK_NYS,Berkshire,NYSE,USA,USD,Americas,Energy,0.64,398.1,0.204,2.1,5.0,4.0,17,100,70,1920,165,2.8,91
2023-10-01,BERK_NYS,Berkshire,NYSE,USA,USD,Americas,Energy,0.64,398.1,5.588,1.9,5.25,3.2,14,103,75,2000,160,3.0,90
2019-01-01,PFIZ_NYS,Pfizer,NYSE,USA,USD,Americas,Finance,0.73,436.6,1.991,3.1,2.25,1.6,16,96,55,1290,110,2.2,100
2019-04-01,PFIZ_NYS,Pfizer,NYSE,USA,USD,Americas,Finance,0.73,436.6,9.167,3.0,2.5,1.9,13,97,62,1310,112,2.5,98
2019-07-01,PFIZ_NYS,Pfizer,NYSE,USA,USD,Americas,Finance,0.73,436.6,1.797,2.9,2.25,1.8,15,98,60,1490,115,1.5,95
2019-10-01,PFIZ_NYS,Pfizer,NYSE,USA,USD,Americas,Finance,0.73,436.6,1.998,2.8,1.75,2.1,17,97,56,1480,118,0.8,97
2020-01-01,PFIZ_NYS,Pfizer,NYSE,USA,USD,Americas,Finance,0.73,436.6,1.836,1.5,1.5,2.3,28,99,45,1580,130,-0.5,96
2020-04-01,PFIZ_NYS,Pfizer,NYSE,USA,USD,Americas,Finance,0.73,436.6,-11.065,-6.5,0.25,0.1,55,100,20,1710,125,-15.0,88
2020-07-01,PFIZ_NYS,Pfizer,NYSE,USA,USD,Americas,Finance,0.73,436.6,-0.465,-4.0,0.25,1.2,26,93,38,1900,120,3.0,90
2020-10-01,PFIZ_NYS,Pfizer,NYSE,USA,USD,Americas,Finance,0.73,436.6,-4.213,-1.8,0.25,1.4,22,90,42,1870,115,4.2,93
2021-01-01,PFIZ_NYS,Pfizer,NYSE,USA,USD,Americas,Finance,0.73,436.6,9.571,5.5,0.25,1.7,21,89,52,1820,112,7.5,95
2021-04-01,PFIZ_NYS,Pfizer,NYSE,USA,USD,Americas,Finance,0.73,436.6,5.098,5.0,0.25,5.0,17,91,62,1780,110,8.0,97
2021-07-01,PFIZ_NYS,Pfizer,NYSE,USA,USD,Americas,Finance,0.73,436.6,13.364,4.5,0.25,6.2,18,93,74,1760,108,6.5,96
2021-10-01,PFIZ_NYS,Pfizer,NYSE,USA,USD,Americas,Finance,0.73,436.6,4.98,4.2,0.25,7.0,17,96,80,1820,112,5.8,94
2022-01-01,PFIZ_NYS,Pfizer,NYSE,USA,USD,Americas,Finance,0.73,436.6,8.012,3.8,0.25,7.9,24,98,95,1900,165,3.5,92
2022-04-01,PFIZ_NYS,Pfizer,NYSE,USA,USD,Americas,Finance,0.73,436.6,-3.408,3.5,0.5,8.5,26,103,105,1870,200,2.5,88
2022-07-01,PFIZ_NYS,Pfizer,NYSE,USA,USD,Americas,Finance,0.73,436.6,0.097,3.0,1.5,8.3,30,108,95,1720,195,1.8,85
2022-10-01,PFIZ_NYS,Pfizer,NYSE,USA,USD,Americas,Finance,0.73,436.6,2.147,2.8,3.0,7.1,22,104,82,1800,180,2.0,88
2023-01-01,PFIZ_NYS,Pfizer,NYSE,USA,USD,Americas,Finance,0.73,436.6,7.307,2.5,4.25,6.4,21,102,78,1850,175,2.2,87
2023-04-01,PFIZ_NYS,Pfizer,NYSE,USA,USD,Americas,Finance,0.73,436.6,-6.17,2.3,4.75,5.0,19,101,73,1960,170,2.5,89
2023-07-01,PFIZ_NYS,Pfizer,NYSE,USA,USD,Americas,Finance,0.73,436.6,4.751,2.1,5.0,4.0,17,100,70,1920,165,2.8,91
2023-10-01,PFIZ_NYS,Pfizer,NYSE,USA,USD,Americas,Finance,0.73,436.6,3.427,1.9,5.25,3.2,14,103,75,2000,160,3.0,90
2019-01-01,CHEV_NYS,Chevron,NYSE,USA,USD,Americas,Energy,0.59,72.9,-1.725,3.1,2.25,1.6,16,96,55,1290,110,2.2,100
2019-04-01,CHEV_NYS,Chevron,NYSE,USA,USD,Americas,Energy,0.59,72.9,4.082,3.0,2.5,1.9,13,97,62,1310,112,2.5,98
2019-07-01,CHEV_NYS,Chevron,NYSE,USA,USD,Americas,Energy,0.59,72.9,2.409,2.9,2.25,1.8,15,98,60,1490,115,1.5,95
2019-10-01,CHEV_NYS,Chevron,NYSE,USA,USD,Americas,Energy,0.59,72.9,11.144,2.8,1.75,2.1,17,97,56,1480,118,0.8,97
2020-01-01,CHEV_NYS,Chevron,NYSE,USA,USD,Americas,Energy,0.59,72.9,-1.209,1.5,1.5,2.3,28,99,45,1580,130,-0.5,96
2020-04-01,CHEV_NYS,Chevron,NYSE,USA,USD,Americas,Energy,0.59,72.9,-3.908,-6.5,0.25,0.1,55,100,20,1710,125,-15.0,88
2020-07-01,CHEV_NYS,Chevron,NYSE,USA,USD,Americas,Energy,0.59,72.9,-7.061,-4.0,0.25,1.2,26,93,38,1900,120,3.0,90
2020-10-01,CHEV_NYS,Chevron,NYSE,USA,USD,Americas,Energy,0.59,72.9,-0.705,-1.8,0.25,1.4,22,90,42,1870,115,4.2,93
2021-01-01,CHEV_NYS,Chevron,NYSE,USA,USD,Americas,Energy,0.59,72.9,6.305,5.5,0.25,1.7,21,89,52,1820,112,7.5,95
2021-04-01,CHEV_NYS,Chevron,NYSE,USA,USD,Americas,Energy,0.59,72.9,7.681,5.0,0.25,5.0,17,91,62,1780,110,8.0,97
2021-07-01,CHEV_NYS,Chevron,NYSE,USA,USD,Americas,Energy,0.59,72.9,9.392,4.5,0.25,6.2,18,93,74,1760,108,6.5,96
2021-10-01,CHEV_NYS,Chevron,NYSE,USA,USD,Americas,Energy,0.59,72.9,3.092,4.2,0.25,7.0,17,96,80,1820,112,5.8,94
2022-01-01,CHEV_NYS,Chevron,NYSE,USA,USD,Americas,Energy,0.59,72.9,-2.452,3.8,0.25,7.9,24,98,95,1900,165,3.5,92
2022-04-01,CHEV_NYS,Chevron,NYSE,USA,USD,Americas,Energy,0.59,72.9,3.146,3.5,0.5,8.5,26,103,105,1870,200,2.5,88
2022-07-01,CHEV_NYS,Chevron,NYSE,USA,USD,Americas,Energy,0.59,72.9,2.234,3.0,1.5,8.3,30,108,95,1720,195,1.8,85
2022-10-01,CHEV_NYS,Chevron,NYSE,USA,USD,Americas,Energy,0.59,72.9,2.429,2.8,3.0,7.1,22,104,82,1800,180,2.0,88
2023-01-01,CHEV_NYS,Chevron,NYSE,USA,USD,Americas,Energy,0.59,72.9,-2.827,2.5,4.25,6.4,21,102,78,1850,175,2.2,87
2023-04-01,CHEV_NYS,Chevron,NYSE,USA,USD,Americas,Energy,0.59,72.9,4.766,2.3,4.75,5.0,19,101,73,1960,170,2.5,89
2023-07-01,CHEV_NYS,Chevron,NYSE,USA,USD,Americas,Energy,0.59,72.9,0.847,2.1,5.0,4.0,17,100,70,1920,165,2.8,91
2023-10-01,CHEV_NYS,Chevron,NYSE,USA,USD,Americas,Energy,0.59,72.9,3.595,1.9,5.25,3.2,14,103,75,2000,160,3.0,90
2019-01-01,MAST_NYS,Mastercard,NYSE,USA,USD,Americas,Technology,0.59,122.2,9.836,3.1,2.25,1.6,16,96,55,1290,110,2.2,100
2019-04-01,MAST_NYS,Mastercard,NYSE,USA,USD,Americas,Technology,0.59,122.2,-1.138,3.0,2.5,1.9,13,97,62,1310,112,2.5,98
2019-07-01,MAST_NYS,Mastercard,NYSE,USA,USD,Americas,Technology,0.59,122.2,5.838,2.9,2.25,1.8,15,98,60,1490,115,1.5,95
2019-10-01,MAST_NYS,Mastercard,NYSE,USA,USD,Americas,Technology,0.59,122.2,4.333,2.8,1.75,2.1,17,97,56,1480,118,0.8,97
2020-01-01,MAST_NYS,Mastercard,NYSE,USA,USD,Americas,Technology,0.59,122.2,-0.119,1.5,1.5,2.3,28,99,45,1580,130,-0.5,96
2020-04-01,MAST_NYS,Mastercard,NYSE,USA,USD,Americas,Technology,0.59,122.2,-7.615,-6.5,0.25,0.1,55,100,20,1710,125,-15.0,88
2020-07-01,MAST_NYS,Mastercard,NYSE,USA,USD,Americas,Technology,0.59,122.2,5.527,-4.0,0.25,1.2,26,93,38,1900,120,3.0,90
2020-10-01,MAST_NYS,Mastercard,NYSE,USA,USD,Americas,Technology,0.59,122.2,7.797,-1.8,0.25,1.4,22,90,42,1870,115,4.2,93
2021-01-01,MAST_NYS,Mastercard,NYSE,USA,USD,Americas,Technology,0.59,122.2,1.178,5.5,0.25,1.7,21,89,52,1820,112,7.5,95
2021-04-01,MAST_NYS,Mastercard,NYSE,USA,USD,Americas,Technology,0.59,122.2,2.431,5.0,0.25,5.0,17,91,62,1780,110,8.0,97
2021-07-01,MAST_NYS,Mastercard,NYSE,USA,USD,Americas,Technology,0.59,122.2,5.167,4.5,0.25,6.2,18,93,74,1760,108,6.5,96
2021-10-01,MAST_NYS,Mastercard,NYSE,USA,USD,Americas,Technology,0.59,122.2,-3.821,4.2,0.25,7.0,17,96,80,1820,112,5.8,94
2022-01-01,MAST_NYS,Mastercard,NYSE,USA,USD,Americas,Technology,0.59,122.2,2.678,3.8,0.25,7.9,24,98,95,1900,165,3.5,92
2022-04-01,MAST_NYS,Mastercard,NYSE,USA,USD,Americas,Technology,0.59,122.2,2.996,3.5,0.5,8.5,26,103,105,1870,200,2.5,88
2022-07-01,MAST_NYS,Mastercard,NYSE,USA,USD,Americas,Technology,0.59,122.2,-3.645,3.0,1.5,8.3,30,108,95,1720,195,1.8,85
2022-10-01,MAST_NYS,Mastercard,NYSE,USA,USD,Americas,Technology,0.59,122.2,2.225,2.8,3.0,7.1,22,104,82,1800,180,2.0,88
2023-01-01,MAST_NYS,Mastercard,NYSE,USA,USD,Americas,Technology,0.59,122.2,-6.352,2.5,4.25,6.4,21,102,78,1850,175,2.2,87
2023-04-01,MAST_NYS,Mastercard,NYSE,USA,USD,Americas,Technology,0.59,122.2,1.562,2.3,4.75,5.0,19,101,73,1960,170,2.5,89
2023-07-01,MAST_NYS,Mastercard,NYSE,USA,USD,Americas,Technology,0.59,122.2,-4.839,2.1,5.0,4.0,17,100,70,1920,165,2.8,91
2023-10-01,MAST_NYS,Mastercard,NYSE,USA,USD,Americas,Technology,0.59,122.2,-9.412,1.9,5.25,3.2,14,103,75,2000,160,3.0,90
2019-01-01,UNIT_NYS,UnitedHealth,NYSE,USA,USD,Americas,Materials,0.63,366.8,3.993,3.1,2.25,1.6,16,96,55,1290,110,2.2,100
2019-04-01,UNIT_NYS,UnitedHealth,NYSE,USA,USD,Americas,Materials,0.63,366.8,1.592,3.0,2.5,1.9,13,97,62,1310,112,2.5,98
2019-07-01,UNIT_NYS,UnitedHealth,NYSE,USA,USD,Americas,Materials,0.63,366.8,5.071,2.9,2.25,1.8,15,98,60,1490,115,1.5,95
2019-10-01,UNIT_NYS,UnitedHealth,NYSE,USA,USD,Americas,Materials,0.63,366.8,7.804,2.8,1.75,2.1,17,97,56,1480,118,0.8,97
2020-01-01,UNIT_NYS,UnitedHealth,NYSE,USA,USD,Americas,Materials,0.63,366.8,2.916,1.5,1.5,2.3,28,99,45,1580,130,-0.5,96
